,,,,,,,,,,,,,,,,
,0.5 PPR Scoring,,,,,Week 3,,,Peakedinhighskool,,,,Date:,,9/18/2019,Rev:1.01
,Tier,Trade Value,Running Back,Trend (+/-),,Wide Receiver,Trend (+/-),,Tight End,Trend (+/-),,Quarterback,Trend (+/-),,Defense,Trend (+/-)
,1,67.0,Saquon Barkley,-1,,,,,,,,,,,,
,,65.0,Christian McCaffrey,-1,,,,,,,,,,,,
,,63.5,Ezekiel Elliott,1,,,,,,,,,,,,
,,58.0,Alvin Kamara,-1,,DeAndre Hopkins,-4,,,,,,,,,
,,56.5,,,,Julio Jones,-4.5,,,,,,,,,
,2,53.5,Dalvin Cook,-1.5,,,,,,,,,,,,
,,51.0,Le'Veon Bell,-1,,Davante Adams,-6.5,,,,,,,,,
,,46.5,,,,,,,Travis Kelce,-4,,,,,,
,,44.5,Nick Chubb,-2,,,,,,,,,,,,
,,43.5,,,,Michael Thomas,-3.5,,,,,,,,,
,,42.5,David Johnson,-2,,,,,,,,,,,,
,,38.5,,,,JuJu Smith-Schuster,-6.5,,,,,,,,,
,,37.0,,,,Keenan Allen,-3.5,,,,,,,,,
,,36.0,,,,Mike Evans,-4.5,,,,,,,,,
,3,35.0,James Conner,-2,,Odell Beckham Jr.,-19,,,,,,,,,
,,34.0,,,,Amari Cooper,-3,,,,,,,,,
,,34.0,Chris Carson,-4.5,,Antonio Brown,-8.5,,,,,,,,,
,,32.5,Todd Gurley,-3.5,,,,,,,,,,,,
,,30.0,,,,,,,,,,Patrick Mahomes,-4,,,
,,29.5,Leonard Fournette,-6,,,,,,,,,,,,
,,29.0,Aaron Jones,-2.5,,Adam Thielen,-5,,,,,,,,,
,,28.5,Derrick Henry,-4.5,,,,,,,,,,,,
,,28.0,Joe Mixon,-2.5,,,,,,,,,,,,
,,27.5,Josh Jacobs,-3.5,,,,,George Kittle,-5,,,,,,
,,26.5,,,,,,,Zach Ertz,-6.5,,,,,,
,4,25.0,Austin Ekeler,-4,,,,,,,,,,,,
